title,description,index
#1 Cheerleader Camp (2010),Comedy,1
#chicagoGirl: The Social Network Takes on a Dictator (2013),Documentary|Action|Drama,2
#Horror,"#Horror Inspired by actual events, a group of 12 year old girls face a night of horror when the compulsive addiction of an online social media game turns a moment of cyber bullying into a night of insanity. Death is trending.",3
#Horror (2015),Drama|Horror|Mystery,4
#Pellichoopulu (2016),Comedy|Drama|Romance,5
"$1,000 on the Black (1966)",Western,6
"$100,000 for Ringo (1965)",Drama|Western,7
$5 a Day (2008),Comedy|Drama,8
$50K and a Call Girl: A Love Story (2014),Action|Adventure|Comedy,9
$9.99 (2008),Animation|Drama|Fantasy,10
$ellebrity (2012),Documentary,11
"($1,971)",Comedy|Crime|Drama,12
(500) Days of Summer,"(500) Days of Summer Tom (Joseph Gordon-Levitt), greeting-card writer and hopeless romantic, is caught completely off-guard when his girlfriend, Summer (Zooey Deschanel), suddenly dumps him. He reflects on their 500 days together to try to figure out where their love affair went sour, and in doing so, Tom rediscovers his true passions in life. It was almost like falling in love.",13
(500) Days of Summer (2009),Comedy|Drama|Romance,14
(A)sexual (2011),Documentary|Comedy|Drama,15
(Absolutions) Pipilotti's Mistakes (1988),Short,16
(Dis)Honesty: The Truth About Lies (2015),Documentary|Drama|News,17
(T)ERROR (2015),Documentary,18
(Ujjobu) Kamisari n?›n?› nichij?® (2014),Comedy,19
(Untitled) (2009),Comedy|Drama|Music,20
*batteries not included (1987),Comedy|Family|Fantasy,21
... E fuori nevica! (2014),Comedy,22
...All the Marbles (1981),Comedy|Drama|Sport,23
...And God Created Woman (1956),Drama|Romance,24
...and justice for all. (1979),Crime|Drama|Thriller,25
...and the Fifth Horseman Is Fear (1965),Drama|War,26
...And the Pursuit of Happiness (1986),Documentary,27
...And the Pursuit of Happiness (1986),Documentary,28
...E tu vivrai nel terrore! L'aldil¡‘ (1981),Horror,29
...ing (2003),Romance,30
...tick... tick... tick... (1970),Drama|Action,31
.45 (2006),Crime|Drama|Thriller,32
.45 (2006),Crime|Drama|Thriller,33
.hack//Liminality Vol. 1: In the Case of Mai Minase (2002),Animation|Short|Drama,34
[Anti]killer (2002),Action|Crime,35
[REC],[REC] A television reporter and cameraman follow emergency workers into a dark apartment building and are quickly locked inside with something terrifying. One witness. One camera,36
[Rec] (2007),Horror|Mystery|Thriller,37
[Rec] (2007),Horror|Mystery|Thriller,38
[Rec] 2 (2009),Horror,39
[REC] 3: Genesis (2012),Horror|Romance,40
[REC] 4: Apocalypse (2014),Action|Horror,41
[REC]?ý,"[REC]?ý The action continues from [REC], with the medical officer and a SWAT team outfitted with video cameras are sent into the sealed off apartment to control the situation. Fear Revisited",42
+1 (2013),Sci-Fi|Thriller,43
00 Schneider - Jagd auf Nihil Baxter (1994),Comedy,44
008: Operation Exterminate (1965),Action,45
009 Re: Cyborg (2012),Animation|Action|Sci-Fi,46
009-1: The End of the Beginning (2013),Action|Crime|Drama,47
06/05 (2004),Drama|Thriller,48
08/15 (1954),Drama|War,49
1 - Nenokkadine (2014),Action|Musical|Mystery,50
1 (2013),Documentary|History|Sport,51
1 1/2 Ritter - Auf der Suche nach der hinrei??enden Herzelinde (2008),Comedy,52
1 Chance 2 Dance (2014),Drama|Family,53
1 P.M. (1971),Documentary,54
"1,000 Times Good Night (2013)",Drama|War,55
"1,000 Times More Brutal (2012)",Action|Crime,56
10 (1979),Comedy|Romance,57
10 000 timmar (2014),Comedy,58
10 Attitudes (2001),Drama,59
10 Cent Pistol (2014),Crime|Thriller,60
10 Cloverfield Lane,"10 Cloverfield Lane After a car accident, Michelle awakens to find herself in a mysterious bunker with two men named Howard and Emmett. Howard offers her a pair of crutches to help her remain mobile with her leg injury sustained from the car crash and tells her to ""get good on those"" before leaving the bunker. She has been given the information that there has been an alien attack and the outside world is poisoned. However, Howard and Emmett's intentions soon become questionable and Michelle is faced with a question: Is it better in here or out there? Monsters come in many forms.",61
10 Cloverfield Lane (2016),Drama|Horror|Mystery,62
10 Days in a Madhouse,"10 Days in a Madhouse Nellie Bly, a 23 year-old reporter for Joseph Pulitzer, goes undercover in the notorious Blackwell's Island women's insane asylum in order to expose corruption, abuse and murder. ",63
10 Items or Less (2006),Comedy|Drama,64
10 minuta (2002),Short|Drama|War,65
10 Mountains 10 Years (2010),Documentary,66
10 MPH (2007),Documentary,67
10 Questions for the Dalai Lama (2006),Documentary,68
10 Questions for the Dalai Lama (2006),Documentary,69
10 Rillington Place (1971),Biography|Crime|Drama,70
10 Rules for Sleeping Around (2013),Comedy|Romance,71
10 Things I Hate About You,"10 Things I Hate About You Bianca, a tenth grader, has never gone on a date, but she isn't allowed to go out with boys until her older sister Kat gets a boyfriend. The problem is, Kat rubs nearly everyone the wrong way. But Bianca and the guy she has her eye on, Joey, are eager, so Joey fixes Kat up with Patrick, a new kid in town just bitter enough for Kat. How do I loathe thee? Let me count the ways.",72
10 Things I Hate About You (1999),Comedy|Drama|Romance,73
10 to Midnight (1983),Crime|Drama|Thriller,74
10 Years (2011),Comedy|Drama|Romance,75
10%: What Makes a Hero? (2013),Documentary|Adventure|Biography,76
"10,000 BC (2008)",Action|Adventure|Drama,77
"10,000 BC (2008)",Action|Adventure|Drama,78
"10,000 Black Men Named George (2002)",Drama,79
"10,000 Days (2014)",Sci-Fi,80
"10,000 Dollars for a Massacre (1967)",Western,81
"10,000 Saints (2015)",Comedy|Drama|Music,82
10.0 Earthquake (2014),Action|Adventure|Drama,83
10.000 Km (2014),Comedy|Drama|Romance,84
10.5: Apocalypse,Drama|Sci-Fi|Thriller,85
10.5: Apocalypse,Drama|Sci-Fi|Thriller,86
10+10 (2011),,87
100 Bloody Acres (2012),Comedy|Horror,88
100 Days (1991),Horror|Romance|Thriller,89
100 Degrees Below Zero (2013),Action|Sci-Fi,90
100 Feet (2008),Horror|Mystery|Thriller,91
100 Ghost Street: The Return of Richard Speck (2012),Horror,92
100 Girls (2000),Comedy|Romance,93
100 gramm dlya khrabrosti (1977),Comedy,94
100 Million BC (2008),Action|Adventure|Sci-Fi,95
100 Rifles (1969),Adventure|Romance|War,96
100 Rifles (1969),Adventure|Romance|War,97
100 Ways to Murder Your Wife (1986),Comedy|Romance,98
100 Years at the Movies (1994),Documentary|Short,99
100 Years of Evil (2010),Adventure|Comedy|History,100
100 Yen: The Japanese Arcade Experience (2012),Documentary,101
100% cachemire (2013),Comedy,102
100% Love (2011),Comedy|Drama|Romance,103
1000 Journals (2007),Documentary,104
1000 to 1: The Cory Weissman Story (2014),Biography|Drama,105
1001 Gram (2014),Drama,106
101 ci qiu hun (2013),Romance,107
101 Dalmatians (1961),Animation|Adventure|Comedy,108
